
                time        total_energy      kinetic_energy    potential_energy          temprature
       30.5469360000     -852.2570232424     2130.2579755349    -2997.3846558852     -852.2570232424
       30.6883570000     -887.2311088587     2092.4977380520    -2997.3791024406     -887.2311088587
       30.8297780000     -935.5664989148     2029.8942432211    -3002.1853407756     -935.5664989148
       30.9711990000     -999.5265305270     1980.8565085761    -2997.5677475086     -999.5265305270
       31.1126200000    -1011.5246743883     2001.4759556149    -2993.5413110609    -1011.5246743883
       31.2540410000     -951.1558895473     2092.4698385232    -2994.5709580279     -951.1558895473
       31.3954620000     -839.6419657050     2220.8205889515    -2995.9910880848     -839.6419657050
       31.5368830000     -706.5959686484     2358.5364481532    -2997.5203021876     -706.5959686484
       31.6783040000     -570.1602417068     2495.1848750861    -2999.0532034514     -570.1602417068
       31.8197250000     -445.4829910510     2602.4894667442    -3000.3049575854     -445.4829910510
       31.9611460000     -381.9009834904     2616.7348229889    -3004.4126456555     -381.9009834904
       32.1025670000     -432.9685474399     2505.0763969794    -3003.4575406477     -432.9685474399
       32.2439880000     -594.8799729028     2304.6038923584    -3002.9397175141     -594.8799729028
       32.3854090000     -798.7345662436     2120.5356147530    -3003.0130459704     -798.7345662436
       32.5268300000     -938.8740746569     2032.9334108495    -3010.6064168661     -938.8740746569
       32.6682510000     -957.6586425037     2095.8174874824    -3011.3490055181     -957.6586425037
       32.8096720000     -831.0374912760     2282.5887104769    -3013.3575745921     -831.0374912760
       32.9510930000     -600.9299172703     2556.0964257216    -3018.5158711223     -600.9299172703
       33.0925140000     -312.4333308535     2852.9362513522    -3021.6959142683     -312.4333308535
       33.2339350000      -46.0152332466     3078.2858160186    -3024.1860895064      -46.0152332466
       33.3753560000       99.6195672609     3135.8439987572    -3025.0001022834       99.6195672609
       33.5167770000       51.6419136921     2985.2913895434    -3023.7064645639       51.6419136921
       33.6581980000     -177.8069331089     2696.4281136832    -3021.6090820236     -177.8069331089
       33.7996190000     -468.0737186838     2424.7411049528    -3019.0249585425     -468.0737186838
       33.9410400000     -680.3929596845     2278.8053546214    -3020.6094379762     -680.3929596845
       34.0824610000     -761.5968019445     2252.1374513042    -3020.4711305774     -761.5968019445
       34.2238820000     -754.8675385735     2277.8690304978    -3019.2707953256     -754.8675385735
       34.3653030000     -737.1278075192     2282.7604865294    -3019.4586360243     -737.1278075192
       34.5067240000     -735.2909453846     2291.4587652929    -3019.6823251862     -735.2909453846
       34.6481450000     -700.3499384792     2360.1566751420    -3020.5136199276     -700.3499384792
       34.7895660000     -591.3501463277     2501.7907704501    -3017.9906249194     -591.3501463277
       34.9309870000     -437.6458285738     2660.8376342548    -3023.9512557181     -437.6458285738
       35.0724080000     -303.0343670602     2767.3726058214    -3023.0081760321     -303.0343670602
       35.2138290000     -241.4901787900     2776.5895396978    -3023.2948847742     -241.4901787900
       35.3552500000     -290.7961925857     2674.8133407781    -3026.2188977618     -290.7961925857
       35.4966710000     -431.4529474352     2511.4038144641    -3024.7380220477     -431.4529474352
       35.6380920000     -588.7087621434     2372.2485492073    -3025.5238820231     -588.7087621434
       35.7795130000     -703.7314425296     2278.6076071937    -3020.6405013142     -703.7314425296
       35.9209340000     -764.9240210305     2235.6253941394    -3023.1662348453     -764.9240210305
       36.0623550000     -799.3484071467     2225.0511879539    -3028.8064457038     -799.3484071467
       36.2037760000     -774.6695198670     2290.2549860054    -3033.0881693391     -774.6695198670
       36.3451970000     -699.2976690908     2385.4887234321    -3039.8658896771     -699.2976690908
       36.4866180000     -614.8502927255     2472.4370718391    -3049.7598298190     -614.8502927255
       36.6280390000     -571.3230595271     2488.4337379439    -3065.1734535020     -571.3230595271
       36.7694600000     -607.0227971669     2408.5116197757    -3064.5270150371     -607.0227971669
       36.9108810000     -724.0678118098     2265.9870228385    -3059.5163437633     -724.0678118098
       37.0523020000     -850.7599029686     2171.2867957963    -3060.7937540698     -850.7599029686
       37.1937230000     -897.7641231702     2169.8437304629    -3055.1100963995     -897.7641231702
       37.3351440000     -832.1830443349     2306.7617186265    -3063.1819403542     -832.1830443349
       37.4765650000     -618.1784100778     2613.4165527797    -3070.8805233539     -618.1784100778
       37.6179860000     -294.1821981458     2931.4008033496    -3077.8268734034     -294.1821981458
       37.7594070000      -21.7611173531     3153.2785310697    -3077.6906970666      -21.7611173531
       37.9008280000      112.5892259743     3202.0134580070    -3083.0006509101      112.5892259743
       38.0422490000       70.1040905448     3084.1775112876    -3078.7683655182       70.1040905448
       38.1836700000      -91.6215670226     2879.6129289455    -3073.2822110165      -91.6215670226
       38.3250910000     -301.3641954515     2675.8067819445    -3070.2851596028     -301.3641954515
       38.4665120000     -455.4608261975     2570.3235885138    -3064.0912841459     -455.4608261975
       38.6079330000     -499.8853053709     2567.1125687441    -3056.7743113124     -499.8853053709
       38.7493540000     -462.8830414492     2618.6890630290    -3055.5651983364     -462.8830414492
       38.8907750000     -413.8360271096     2650.9475917442    -3058.8914198315     -413.8360271096
       39.0321960000     -425.4929416136     2594.8697238681    -3051.2032405146     -425.4929416136
       39.1736170000     -509.7122547723     2480.2865781757    -3046.5326474278     -509.7122547723
       39.3150380000     -623.3058237249     2379.3164867942    -3047.1284875465     -623.3058237249
       39.4564590000     -679.8507529150     2377.5086112277    -3051.0924274645     -679.8507529150
       39.5978800000     -624.8082693259     2490.5732844319    -3054.3338365543     -624.8082693259
       39.7393010000     -489.7528527163     2634.2714182898    -3055.9527457309     -489.7528527163
       39.8807220000     -372.5116253872     2721.5566259908    -3059.9389905621     -372.5116253872
       40.0221430000     -340.7904001226     2712.3349664104    -3065.9958871231     -340.7904001226
       40.1635640000     -378.0763945016     2664.0135233568    -3066.9537239493     -378.0763945016
       40.3049850000     -401.9897636434     2693.8718684583    -3057.9970030841     -401.9897636434
       40.4464060000     -284.4272038806     2863.4744991617    -3054.7287181057     -284.4272038806
       40.5878270000      -97.2428722740     3041.7254057738    -3056.7380904889      -97.2428722740
       40.7292480000       29.3918377935     3106.9764149316    -3059.3585207836       29.3918377935
       40.8706690000        7.0618527921     3003.0715213489    -3056.5895927123        7.0618527921
       41.0120900000     -163.4590444438     2759.3628152334    -3052.5554406465     -163.4590444438
       41.1535110000     -450.2188611638     2448.6505874003    -3048.4409988822     -450.2188611638
       41.2949320000     -716.9202287347     2224.1704869210    -3036.9284076277     -716.9202287347
       41.4363530000     -869.6777648379     2126.3496990466    -3037.5488982969     -869.6777648379
       41.5777740000     -912.9217312690     2138.3269975144    -3037.2755420905     -912.9217312690
       41.7191950000     -871.2663847697     2194.9276322913    -3038.6130798757     -871.2663847697
       41.8606160000     -818.9685013708     2247.1932461705    -3041.0683784083     -818.9685013708
       42.0020370000     -758.5131312195     2320.6256004085    -3041.9468156345     -758.5131312195
       42.1434580000     -668.3469744995     2438.0225898187    -3043.2760453273     -668.3469744995
       42.2848790000     -515.8972036613     2624.6093106446    -3043.4612308547     -515.8972036613
       42.4263000000     -318.0716847707     2818.9984137731    -3045.6093979402     -318.0716847707
       42.5677210000     -161.5690785510     2926.9084244407    -3041.9541229182     -161.5690785510
       42.7091420000     -112.2818322637     2915.9951640254    -3047.3930645186     -112.2818322637
       42.8505630000     -200.1422214786     2763.4509655155    -3048.0034350069     -200.1422214786
       42.9919840000     -377.8338932101     2561.5399690196    -3041.8303968547     -377.8338932101
       43.1334050000     -586.8004409375     2359.2779655526    -3039.9852205446     -586.8004409375
       43.2748260000     -751.9573296033     2230.7735962118    -3038.8207426870     -751.9573296033
       43.4162470000     -838.8761702459     2196.9887015608    -3044.7605414187     -838.8761702459
       43.5576680000     -824.2384499049     2265.8183242156    -3048.5896274843     -824.2384499049
       43.6990890000     -710.2139074461     2411.6810456273    -3045.8223871898     -710.2139074461
       43.8405100000     -560.3015888418     2552.9775663207    -3045.9382237894     -560.3015888418
       43.9819310000     -443.9345972586     2639.8989656316    -3046.9894027089     -443.9345972586
       44.1233520000     -389.3026548579     2671.5035519236    -3049.8619947741     -389.3026548579
       44.2647730000     -383.9196738278     2652.8242288348    -3046.5168678361     -383.9196738278
       44.4061940000     -414.1103785834     2608.2737684866    -3042.2650251014     -414.1103785834
       44.5476150000     -460.8091808832     2547.2833625900    -3040.1092868448     -460.8091808832
       44.6890360000     -539.4450315769     2450.4009295991    -3042.6342757359     -539.4450315769
       44.8304570000     -646.2274356229     2347.0472399015    -3045.3971118334     -646.2274356229
       44.9718780000     -733.3482421054     2281.6580000920    -3042.9049207489     -733.3482421054
       45.1132990000     -782.9808113208     2240.6727528152    -3042.6252370170     -782.9808113208
       45.2547200000     -809.7680254343     2219.6012763524    -3038.9476875295     -809.7680254343
